Erfolge,Chemie / Pharma,Finanzen / Versicherungen,IKT,Maschinenbau,Handel,Fahrzeugbau,Gesundheitswesen,Wissensintens. Dienstleister,Energie- / Wasserversorgung,Verkehr / Logistik,Sonstiges verarb. Gewerbe
Kundenkommunikation,81,80,78,76,73,72,67,66,59,53,73
Wissensaufbau,62,69,59,49,54,49,50,51,50,46,54
Qualitätsverbesserung,54,62,72,56,50,40,25,63,54,38,50
Innovationsfähigkeit,50,70,64,64,55,48,25,39,54,38,52
Markt & Kundengruppe,52,53,57,61,63,49,20,38,29,40,50
Kostensenkung,61,51,41,63,36,45,27,62,58,28,42
Wettbewerbsvorteil,39,54,58,39,38,37,15,35,21,24,57
Neue digitale Dienste,26,54,57,27,40,31,15,29,34,21,40
Neue Produkte,25,28,53,28,26,26,9,25,13,17,21
Neue Geschäftsmodelle,20,20,38,20,26,16,6,23,9,13,24
